26,17,0
93,38,0
30,80,1
69,88,0
54,45,1
62,21,0
52,76,1
54,45,1
27,7,0
98,35,0
44,5,0
39,26,1
90,67,0
50,52,1
45,35,1
38,58,1
80,10,0
100,6,0
32,19,0
26,28,1
70,41,0
99,11,0
77,5,0
86,78,0
44,12,0
42,38,1
84,49,0
7,14,0
14,64,1
50,36,1
36,41,1
51,40,1
46,70,1
40,28,1
83,52,0
41,42,1
0,68,0
63,52,1
16,78,1
17,35,1
57,78,1
72,55,1
56,59,1
46,0,0
48,99,0
51,38,1
7,13,0
8,1,0
77,43,0
89,72,0
10,12,0
56,64,1
65,11,0
33,1,0
67,23,0
73,98,0
77,84,0
14,46,1
34,30,1
62,73,1
82,81,0
44,83,1
80,66,0
93,36,0
54,13,0
17,35,1
43,56,1
97,96,0
26,22,0
16,26,0
36,63,1
79,14,0
72,0,0
50,68,1
100,1,0
55,43,1
64,76,1
67,4,0
96,32,0
72,29,0
98,77,0
82,90,0
71,57,1
57,60,1
67,74,1
49,96,0
3,92,0
59,70,1
16,93,0
83,21,0
90,57,0
27,91,1
94,31,0
88,14,0
51,17,0
41,61,1
37,68,1
70,34,0
2,73,0
80,78,0
64,7,0
72,30,0
89,88,0
51,12,0
91,13,0
39,7,0
95,7,0
17,15,0
38,11,0
48,97,0
100,91,0
22,20,0
0,48,0
89,55,0
99,66,0
43,6,0
17,4,0
43,69,1
46,72,1
12,77,1
74,7,0
16,56,1
37,75,1
34,84,1
80,8,0
7,70,1
73,28,0
46,53,1
52,21,0
86,93,0
94,84,0
40,50,1
4,83,0
86,42,0
72,84,0
81,91,0
67,49,1
39,73,1
89,65,0
80,93,0
48,61,1
52,22,0
76,16,0
93,5,0
51,36,1
28,64,1
12,62,1
63,2,0
78,65,0
52,28,1
18,21,0
94,8,0
77,21,0
23,65,1
44,51,1
94,94,0
81,17,0
67,42,1
56,59,1
9,25,0
52,82,1
38,53,1
94,61,0
89,18,0
63,13,0
33,84,1
35,0,0
91,1,0
13,72,1
10,41,0
35,89,1
50,15,0
97,60,0
33,6,0
29,31,1
15,2,0
40,16,0
2,13,0
94,95,0
4,69,0
90,29,0
98,95,0
42,66,1
47,49,1
18,4,0
34,0,0
58,78,1
8,8,0
3,99,0
6,25,0
90,99,0
46,29,1
6,99,0
78,61,0
48,30,1
18,100,0
27,6,0
54,40,1
72,73,1
82,42,0
29,60,1
25,82,1
60,3,0
40,14,0
69,58,1
11,53,1
100,13,0
17,12,0
48,70,1
93,11,0
18,45,1
80,34,0
67,56,1
67,39,1
86,31,0
15,35,0
80,5,0
59,35,1
91,53,0
71,69,1
10,10,0
7,63,1
90,10,0
13,5,0
40,91,1
18,89,0
77,33,0
51,16,0
3,13,0
48,1,0
21,99,0
2,14,0
39,56,1
22,46,1
26,43,1
40,4,0
37,77,1
60,69,1
33,68,1
58,86,1
52,17,0
59,56,1
25,82,1
20,40,1
90,76,0
54,92,1
24,43,1
58,59,1
8,87,0
41,28,1
59,87,1
83,71,0
98,22,0
48,39,1
90,2,0
73,92,0
47,82,1
12,93,0
0,67,0
56,41,1
62,4,0
59,46,1
24,54,1
92,11,0
55,41,1
86,59,0
52,35,1
20,88,1
7,41,0
21,81,1
64,87,0
26,59,1
26,52,1
31,25,0
33,48,1
70,99,0
2,92,0
42,38,1
91,34,0
42,17,0
84,12,0
11,61,1
71,99,0
29,76,1
89,38,0
36,61,1
48,78,1
65,54,1
85,77,0
56,99,0
90,12,0
48,89,1
49,35,1
76,73,0
20,28,0
47,74,1
82,66,0
92,54,0
12,22,0
86,46,0
18,95,0
67,70,1
96,56,0
17,88,0
37,41,1
1,80,0
78,57,0
41,37,1
15,0,0
50,38,1
95,55,0
45,55,1
43,25,0
97,42,0
27,78,1
41,36,1
15,8,0
47,67,1
33,45,1
95,90,0
96,93,0
59,23,0
46,14,0
20,61,1
93,53,0
35,92,1
31,38,1
52,62,1
90,34,0
97,39,0
78,13,0
